MONTH,DAY,DAY_OF_WEEK,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,WEATHER_DELAY,LATE_AIRCRAFT_DELAY,CARRIER_DELAY,DELAYED
11,4,1,AS,DEN,LAX,914,92,0,69,27,1
1,3,2,DL,ATL,SFO,814,9,0,0,0,0
10,9,7,AA,ORD,SEA,1731,5,0,0,0,0
2,3,4,AA,SFO,JFK,1408,0,0,0,0,0
7,3,5,UA,SFO,DEN,787,26,0,29,0,1
4,28,1,WN,DEN,DFW,1494,0,0,0,0,0
10,21,2,SW,DFW,LAX,1893,2,0,0,0,0
11,11,7,AA,DFW,JFK,131,41,0,0,36,1
4,21,4,WN,JFK,LAX,1084,8,0,0,0,0
10,13,3,DL,ORD,SFO,2021,21,3,0,10,1
10,3,4,WN,JFK,DEN,1029,10,0,0,7,0
11,11,1,UA,SEA,LAX,1858,46,46,0,0,1
9,4,7,AS,DEN,JFK,2079,0,0,0,0,0
10,11,4,AA,LAX,DFW,1259,0,0,0,0,0
2,24,4,AA,ORD,LAX,1946,8,0,0,0,0
4,18,7,AS,DFW,SEA,1276,9,0,0,0,0
2,8,2,AA,SFO,ATL,2268,36,0,0,40,1
4,3,1,UA,LAX,SFO,974,10,0,0,0,0
4,26,4,WN,DFW,ATL,397,0,0,0,0,0
11,21,6,AA,ATL,DEN,1389,51,0,24,28,1
7,6,3,WN,DFW,JFK,308,0,0,0,0,0
11,18,7,AA,LAX,JFK,968,7,0,0,0,0
1,6,4,AA,SEA,ORD,1863,10,0,0,0,0
3,7,3,DL,ATL,SFO,2220,94,20,74,0,1
1,17,1,DL,LAX,SFO,278,38,0,0,36,1
10,20,1,SW,LAX,DEN,2315,5,0,0,0,0
4,9,4,DL,DEN,DFW,1295,37,0,0,39,1
2,18,2,SW,DEN,LAX,1429,0,0,0,0,0
8,27,5,AS,DEN,SFO,2166,50,52,0,0,1
3,9,1,AA,ORD,DFW,1154,3,0,0,0,0
9,16,3,AA,LAX,SEA,1734,45,0,42,0,1
3,24,4,SW,SEA,DEN,39,0,0,0,0,0
9,2,7,UA,ORD,DEN,522,19,23,0,0,1
6,7,6,DL,LAX,DFW,2293,0,0,0,0,0
4,28,2,DL,SEA,ATL,734,2,0,0,0,0
5,6,7,AS,LAX,DEN,158,9,0,0,0,0
6,10,7,DL,DFW,ATL,791,23,0,0,17,1
11,17,4,AS,SFO,ATL,472,3,0,0,0,0
1,4,5,WN,SFO,SEA,1284,37,0,0,36,1
5,2,6,WN,ATL,SFO,2205,1,0,0,0,0
6,14,1,AS,SFO,DEN,1285,46,0,38,0,1
6,13,6,UA,ORD,LAX,1722,0,0,0,0,0
10,19,3,WN,ATL,DFW,1175,5,0,0,0,0
8,15,4,AS,DFW,SFO,1938,0,0,0,0,0
5,17,6,AS,SFO,ATL,962,0,0,0,1,0
4,16,5,AA,JFK,DFW,2357,2,0,0,0,0
3,21,6,AA,LAX,JFK,1741,9,0,0,0,0
1,18,2,AA,JFK,LAX,1903,9,0,0,0,0
10,27,6,SW,SEA,JFK,2244,9,0,0,0,0
5,25,2,AS,DEN,JFK,2135,4,0,0,0,0
4,9,3,UA,LAX,ORD,617,0,0,0,0,0
7,14,3,SW,JFK,DFW,255,0,0,0,0,0
10,13,4,AA,SFO,ORD,1597,2,0,0,0,0
8,8,3,WN,JFK,ATL,1592,0,0,0,0,0
8,5,5,SW,ATL,DEN,2311,83,0,54,29,1
1,9,4,UA,DFW,DEN,1338,8,0,0,0,0
5,27,1,WN,ATL,SEA,2209,56,60,0,0,1
1,8,2,AA,ORD,LAX,517,30,0,27,0,1
6,6,5,SW,LAX,JFK,670,10,0,3,0,0
7,23,2,AA,DFW,ATL,1235,32,0,0,36,1
6,18,4,AS,SFO,ATL,2072,51,0,53,0,1
7,12,6,WN,ORD,DEN,721,10,0,0,0,0
8,14,7,AS,DEN,ORD,1005,66,0,57,0,1
10,20,6,WN,SFO,ATL,2024,3,0,0,0,0
6,9,5,AS,DEN,SFO,41,8,0,0,0,0
8,18,7,DL,JFK,SFO,2010,39,0,37,0,1
5,22,5,UA,JFK,DEN,2174,6,0,0,0,0
12,15,3,UA,DEN,LAX,494,0,0,0,0,0
4,7,6,WN,DEN,SEA,2148,4,0,0,0,0
4,12,2,UA,ATL,SEA,2187,5,0,6,0,0
11,28,7,WN,LAX,JFK,50,0,0,0,0,0
1,9,7,WN,LAX,JFK,267,79,0,80,0,1
3,26,5,UA,LAX,ORD,485,2,0,0,0,0
9,13,4,WN,DEN,JFK,1756,0,0,0,0,0
4,21,2,UA,LAX,ORD,982,10,0,0,0,0
5,2,2,UA,DEN,SEA,1859,15,14,0,0,0
7,4,5,DL,ORD,DFW,582,14,10,0,0,0
8,4,4,AS,DEN,SEA,1648,0,0,0,0,0
10,2,4,AS,SFO,DEN,1025,9,14,0,0,0
11,27,3,SW,ATL,JFK,717,0,0,0,0,0
10,14,6,WN,LAX,DEN,1425,15,0,0,10,0
7,23,4,UA,SEA,JFK,2253,12,5,0,0,0
